experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
362660,162,45.0,2726,475.0,16105.0
362700,163,0.0,40,475.0,16105.0
363600,163,20.0,940,475.0,16125.0
364500,163,50.0,1840,475.0,16155.0
365400,163,85.0,2740,475.0,16190.0
366150,163,95.0,3490,475.0,16200.0
366300,164,0.0,150,475.0,16200.0
367200,164,20.0,1050,475.0,16220.0
368100,164,45.0,1950,475.0,16245.0
368116,164,45.0,1966,475.0,16245.0
369000,165,10.0,884,475.0,16255.0
369900,165,40.0,1784,475.0,16285.0
370254,165,40.0,2138,475.0,16285.0
370800,166,25.0,546,475.0,16310.0
371700,166,40.0,1446,475.0,16325.0
371810,166,40.0,1556,475.0,16325.0
372600,167,20.0,790,475.0,16345.0
373104,167,20.0,1294,475.0,16345.0
373500,168,0.0,396,475.0,16345.0
374400,168,15.0,1296,475.0,16360.0
375300,168,75.0,2196,475.0,16420.0
376200,168,175.0,3096,475.0,16520.0
376574,168,220.0,3470,475.0,16565.0
377100,169,0.0,526,475.0,16565.0
378000,169,15.0,1426,475.0,16580.0
378318,169,50.0,1744,475.0,16615.0
378900,170,5.0,582,475.0,16620.0
379800,170,55.0,1482,475.0,16670.0
380700,170,150.0,2382,475.0,16765.0
381380,170,230.0,3062,475.0,16845.0
381600,171,0.0,220,475.0,16845.0
382500,171,70.0,1120,475.0,16915.0
383400,171,125.0,2020,475.0,16970.0
384300,171,160.0,2920,475.0,17005.0
384864,171,190.0,3484,475.0,17035.0
385200,172,10.0,336,475.0,17045.0
386100,172,25.0,1236,475.0,17060.0
386492,172,25.0,1628,475.0,17060.0
387000,173,0.0,508,475.0,17060.0
387900,173,35.0,1408,475.0,17095.0
388800,173,295.0,2308,475.0,17355.0
389432,173,380.0,2940,475.0,17440.0
389700,174,0.0,268,475.0,17440.0
390542,174,30.0,1110,475.0,17470.0
390600,175,0.0,58,475.0,17470.0
391500,175,50.0,958,475.0,17520.0
392386,175,70.0,1844,475.0,17540.0
392400,176,0.0,14,475.0,17540.0
393300,176,45.0,914,475.0,17585.0
394200,176,105.0,1814,475.0,17645.0
395100,176,150.0,2714,475.0,17690.0
395292,176,150.0,2906,475.0,17690.0
396000,177,45.0,708,475.0,17735.0
396900,177,120.0,1608,475.0,17810.0
397800,177,140.0,2508,475.0,17830.0
398032,177,145.0,2740,475.0,17835.0
398700,178,20.0,668,475.0,17855.0
399600,178,55.0,1568,475.0,17890.0
900,0,20.0,900,20.0,20.0
1800,0,60.0,1800,60.0,60.0
2700,0,110.0,2700,110.0,110.0
3190,0,110.0,3190,110.0,110.0
3600,1,0.0,410,110.0,110.0
4500,1,15.0,1310,110.0,125.0
5168,1,45.0,1978,110.0,155.0
5400,2,0.0,232,110.0,155.0
6300,2,0.0,1132,110.0,155.0
7200,2,75.0,2032,110.0,230.0
7464,2,125.0,2296,125.0,280.0
8100,3,25.0,636,125.0,305.0
8512,3,30.0,1048,125.0,310.0
9000,4,20.0,488,125.0,330.0
9900,4,25.0,1388,125.0,335.0
10800,4,50.0,2288,125.0,360.0
11700,4,105.0,3188,125.0,415.0
11726,4,105.0,3214,125.0,415.0
12600,5,15.0,874,125.0,430.0
12880,5,30.0,1154,125.0,445.0
13500,6,0.0,620,125.0,445.0
14400,6,30.0,1520,125.0,475.0
15300,6,105.0,2420,125.0,550.0
15320,6,105.0,2440,125.0,550.0
16200,7,5.0,880,125.0,555.0
900,0,35.0,900,35.0,35.0
900,0,60.0,900,60.0,60.0
1800,0,140.0,1800,140.0,140.0
900,0,90.0,900,90.0,90.0
1800,0,315.0,1800,315.0,315.0
2700,0,570.0,2700,570.0,570.0
3600,0,665.0,3600,665.0,665.0
4500,0,840.0,4500,840.0,840.0
5400,0,1060.0,5400,1060.0,1060.0
900,0,0.0,900,0,0.0
1800,0,0.0,1800,0,0.0
900,0,0.0,900,0,0.0
1800,0,75.0,1800,75.0,75.0
